Unnamed: 0,post_id,post_created,text,user_id,followers,friends,favourites,statuses,retweets,label,cleaned_text,relevance_score,stress_terms_found,educational_terms_found,age_terms_found,slang_terms_found,stress_term_count,educational_term_count,age_term_count,slang_term_count
1005,659967024903254016,Fri Oct 30 05:36:14 +0000 2015,@JohnnieGuilbert I'm being a lazy teenager.  Basically I'm just being myself.  I'm a very dull person lol. You're amazing!,2660477449,1206,2143,39008,950,0,1,johnnieguilbert im being a lazy teenager basically im just being myself im a very dull person lol youre amazing,0.5,none,none,"teen, teenage",none,0,0,2,0
1582,595245592760160256,Mon May 04 15:16:23 +0000 2015,Teenage Pregnancy Approached Differently – Guardian Express | Depression Treatments | http://t.co/z6JH0dKPGD,1616997456,476,1235,0,21533,0,1,teenage pregnancy approached differently guardian express depression treatments,0.65,depression,none,"teen, teenage",none,1,0,2,0
2517,714282727697035264,Mon Mar 28 02:47:27 +0000 2016,Video: Five teenagers arrested in connection to an armed robbery and chase in Dallas. Story in 15min on CBS11. https://t.co/4heohcMIJe,325328455,3185,1447,1250,5186,0,1,video five teenagers arrested in connection to an armed robbery and chase in dallas story in min on cbs,0.5,none,none,"teen, teenage",none,0,0,2,0
2726,578179597629534208,Wed Mar 18 13:02:12 +0000 2015,"“Twenty-five million Americans are struggling from addiction, 90 percent started off as teenagers, so obviously... http://t.co/aDm6dzL8K4",1942261957,560,729,107,3464,1,1,twentyfive million americans are struggling from addiction percent started off as teenagers so obviously,0.5,none,none,"teen, teenage",none,0,0,2,0
3571,286898104018542592,Thu Jan 03 18:13:32 +0000 2013,RT @Self_Harm_: #WeLiveInAGenerationWhere Mental illness has taken over the minds of many teenagers and is destroying the lives of them  ...,1058067937,43,30,14,198,7,1,rt selfharm weliveinagenerationwhere mental illness has taken over the minds of many teenagers and is destroying the lives of them,0.5,none,none,"teen, teenage",none,0,0,2,0
5822,588906690755633154,Fri Apr 17 03:27:51 +0000 2015,"Adam, thank you:3 I can relate. I was diagnosed Feb. 2007, also struggled with depression &amp; anxiety as an adolescent https://t.co/RLXsMVwE3W",422475242,114,207,232,5224,0,1,adam thank you i can relate i was diagnosed feb also struggled with depression amp anxiety as an adolescent,0.55,"anxiety, depression",none,adolescent,none,2,0,1,0
6528,418880098599968768,Thu Jan 02 23:02:52 +0000 2014,"RT @ItsGirllCode: ""Your bra strap is showing""

oh no

no one can know that I, a teenage female, is wearing a bra

someone call Victoria cau…",632291359,68,399,243,1480,950,1,rt itsgirllcode your bra strap is showing oh no no one can know that i a teenage female is wearing a bra someone call victoria cau,0.5,none,none,"teen, teenage",none,0,0,2,0
10219,818158805347397632,Sun Jan 08 18:13:54 +0000 2017,RT @decider: Archie head Aguirre-Sacasa said they want to do a live action version of Sabrina the Teenaged Witch that evokes Rosemary's Bab…,3249600438,235,185,24407,22302,1,0,rt decider archie head aguirresacasa said they want to do a live action version of sabrina the teenaged witch that evokes rosemarys bab,0.5,none,none,"teen, teenage",none,0,0,2,0
10235,818149373263671297,Sun Jan 08 17:36:25 +0000 2017,"RT @spencerbarrett: I'm holding out hope for a rebooted, darker Sabrina the Teenage Witch series. @RiverdaleWriter #TCA17 https://t.co/8lPq…",3249600438,235,185,24407,22302,1,0,rt spencerbarrett im holding out hope for a rebooted darker sabrina the teenage witch series riverdalewriter tca,0.5,none,none,"teen, teenage",none,0,0,2,0
10241,818146089798946816,Sun Jan 08 17:23:22 +0000 2017,RT @EW: Sabrina the Teenage Witch likely to appear on the Archie series #Riverdale: https://t.co/gbISHTW6gW #25Scoops25Days https://t.co/F8…,3249600438,235,185,24407,22302,63,0,rt ew sabrina the teenage witch likely to appear on the archie series riverdale scoopsdays,0.5,none,none,"teen, teenage",none,0,0,2,0
12168,812061971767914496,Thu Dec 22 22:27:16 +0000 2016,RT @HogwartsLogic: Petition for there to be seven books about Teddy Lupin and his adventures at Hogwarts as a badass blue-haired teenager,171999132,252,2119,704,1428,981,0,rt hogwartslogic petition for there to be seven books about teddy lupin and his adventures at hogwarts as a badass bluehaired teenager,0.5,none,none,"teen, teenage",none,0,0,2,0
14783,819219203563536384,Wed Jan 11 16:27:33 +0000 2017,"@hananyxnyx I read it when I was a teenager and had constipation. 

...because I nearly shat bricks",490044008,1849,561,8229,86352,0,0,hananyxnyx i read it when i was a teenager and had constipation because i nearly shat bricks,0.5,none,none,"teen, teenage",none,0,0,2,0
17201,817327817318866945,Fri Jan 06 11:11:51 +0000 2017,"@LoraAli11 its part of a teenager life

GoPAYT DreamTeamYONG",763182466098233344,3088,299,7979,19472,1,0,loraali its part of a teenager life gopayt dreamteamyong,0.5,none,none,"teen, teenage",tea,0,0,2,1
